subject,output,chosen,condition,subject_race,subject_age,subject_gender,character_race,character_age,character_gender,subj_college,self_ability,awareness,shared_features
5,8,0,Competitive,White,32-38,Man,South Asian,25-31,Woman,yes,8,yes,0
5,9,0,Competitive,White,32-38,Man,East/Southeast Asian,18-24,Man,yes,8,yes,1
6,1,1,Casual,White,32-38,Man,Black,32-38,Man,yes,9,yes,2
6,2,1,Casual,White,32-38,Man,Latino,25-31,Man,yes,9,yes,1
6,3,1,Casual,White,32-38,Man,East/Southeast Asian,18-24,Woman,yes,9,yes,0
6,4,1,Casual,White,32-38,Man,Latino,39-45,Man,yes,9,yes,1
6,5,0,Casual,White,32-38,Man,White,39-45,Woman,yes,9,yes,1
6,6,0,Casual,White,32-38,Man,Black,18-24,Woman,yes,9,yes,0
6,7,0,Casual,White,32-38,Man,Latino,32-38,Man,yes,9,yes,2
6,8,0,Casual,White,32-38,Man,White,39-45,Man,yes,9,yes,2
6,9,0,Casual,White,32-38,Man,White,25-31,Man,yes,9,yes,2
7,1,1,Casual,White,32-38,Man,White,25-31,Man,yes,7,yes,2
7,2,1,Casual,White,32-38,Man,Black,39-45,Man,yes,7,yes,1
7,3,1,Casual,White,32-38,Man,Black,32-38,Man,yes,7,yes,2
7,4,1,Casual,White,32-38,Man,White,32-38,Man,yes,7,yes,3
7,5,0,Casual,White,32-38,Man,Latino,32-38,Woman,yes,7,yes,1
7,6,0,Casual,White,32-38,Man,South Asian,18-24,Woman,yes,7,yes,0
7,7,0,Casual,White,32-38,Man,Black,18-24,Man,yes,7,yes,1
7,8,0,Casual,White,32-38,Man,White,32-38,Woman,yes,7,yes,2
7,9,0,Casual,White,32-38,Man,South Asian,32-38,Woman,yes,7,yes,1
8,1,1,Casual,Black,32-38,Man,Black,45+,Woman,yes,6,yes,1
8,2,1,Casual,Black,32-38,Man,South Asian,32-38,Man,yes,6,yes,2
8,3,1,Casual,Black,32-38,Man,Latino,18-24,Woman,yes,6,yes,0
8,4,1,Casual,Black,32-38,Man,East/Southeast Asian,32-38,Woman,yes,6,yes,1
8,5,0,Casual,Black,32-38,Man,East/Southeast Asian,18-24,Man,yes,6,yes,1
8,6,0,Casual,Black,32-38,Man,Black,32-38,Woman,yes,6,yes,2
8,7,0,Casual,Black,32-38,Man,South Asian,18-24,Woman,yes,6,yes,0
8,8,0,Casual,Black,32-38,Man,South Asian,39-45,Man,yes,6,yes,1
8,9,0,Casual,Black,32-38,Man,South Asian,25-31,Man,yes,6,yes,1
9,1,1,Casual,White,39-45,Woman,Black,25-31,Man,yes,8,yes,0
9,2,1,Casual,White,39-45,Woman,Latino,25-31,Man,yes,8,yes,0
9,3,1,Casual,White,39-45,Woman,Black,18-24,Man,yes,8,yes,0
9,4,1,Casual,White,39-45,Woman,Latino,32-38,Man,yes,8,yes,0
9,5,0,Casual,White,39-45,Woman,East/Southeast Asian,18-24,Woman,yes,8,yes,1
9,6,0,Casual,White,39-45,Woman,Black,45+,Woman,yes,8,yes,1
9,7,0,Casual,White,39-45,Woman,South Asian,39-45,Man,yes,8,yes,1
9,8,0,Casual,White,39-45,Woman,East/Southeast Asian,18-24,Man,yes,8,yes,0
9,9,0,Casual,White,39-45,Woman,White,32-38,Man,yes,8,yes,1
10,1,1,Casual,White,32-38,Man,White,25-31,Woman,yes,9,yes,1
10,2,1,Casual,White,32-38,Man,South Asian,45+,Man,yes,9,yes,1
10,3,1,Casual,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,9,yes,1
10,4,1,Casual,White,32-38,Man,South Asian,18-24,Woman,yes,9,yes,0
10,5,0,Casual,White,32-38,Man,Black,32-38,Woman,yes,9,yes,1
10,6,0,Casual,White,32-38,Man,Latino,25-31,Man,yes,9,yes,1
10,7,0,Casual,White,32-38,Man,Latino,39-45,Woman,yes,9,yes,0
10,8,0,Casual,White,32-38,Man,White,39-45,Woman,yes,9,yes,1
10,9,0,Casual,White,32-38,Man,East/Southeast Asian,39-45,Woman,yes,9,yes,0
11,1,1,Casual,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,10,yes,1
11,2,1,Casual,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,10,yes,1
11,3,1,Casual,White,32-38,Man,Latino,32-38,Man,yes,10,yes,2
11,4,1,Casual,White,32-38,Man,Latino,39-45,Man,yes,10,yes,1
11,5,0,Casual,White,32-38,Man,Latino,25-31,Man,yes,10,yes,1
11,6,0,Casual,White,32-38,Man,Black,18-24,Woman,yes,10,yes,0
11,7,0,Casual,White,32-38,Man,White,39-45,Man,yes,10,yes,2
11,8,0,Casual,White,32-38,Man,Black,45+,Man,yes,10,yes,1
11,9,0,Casual,White,32-38,Man,Black,39-45,Woman,yes,10,yes,0
12,1,1,Casual,White,25-31,Woman,East/Southeast Asian,25-31,Man,yes,8,yes,1
12,2,1,Casual,White,25-31,Woman,Black,18-24,Woman,yes,8,yes,1
12,3,1,Casual,White,25-31,Woman,South Asian,25-31,Man,yes,8,yes,1
12,4,1,Casual,White,25-31,Woman,Black,18-24,Man,yes,8,yes,0
12,5,0,Casual,White,25-31,Woman,White,39-45,Man,yes,8,yes,1
12,6,0,Casual,White,25-31,Woman,East/Southeast Asian,39-45,Woman,yes,8,yes,1
12,7,0,Casual,White,25-31,Woman,Black,45+,Woman,yes,8,yes,1
12,8,0,Casual,White,25-31,Woman,Black,25-31,Man,yes,8,yes,1
12,9,0,Casual,White,25-31,Woman,East/Southeast Asian,39-45,Man,yes,8,yes,0
13,1,1,Casual,White,25-31,Man,Black,32-38,Man,yes,9,yes,1
13,2,1,Casual,White,25-31,Man,White,25-31,Woman,yes,9,yes,2
13,3,1,Casual,White,25-31,Man,East/Southeast Asian,18-24,Woman,yes,9,yes,0
13,4,1,Casual,White,25-31,Man,White,25-31,Man,yes,9,yes,3
13,5,0,Casual,White,25-31,Man,Black,45+,Woman,yes,9,yes,0
13,6,0,Casual,White,25-31,Man,South Asian,32-38,Man,yes,9,yes,1
13,7,0,Casual,White,25-31,Man,Black,45+,Man,yes,9,yes,1
13,8,0,Casual,White,25-31,Man,East/Southeast Asian,18-24,Man,yes,9,yes,1
13,9,0,Casual,White,25-31,Man,East/Southeast Asian,32-38,Man,yes,9,yes,1
14,1,1,Competitive,White,32-38,Man,White,39-45,Man,yes,8,yes,2
14,2,1,Competitive,White,32-38,Man,South Asian,18-24,Woman,yes,8,yes,0
14,3,1,Competitive,White,32-38,Man,Latino,18-24,Man,yes,8,yes,1
14,4,1,Competitive,White,32-38,Man,Black,39-45,Man,yes,8,yes,1
14,5,0,Competitive,White,32-38,Man,White,18-24,Woman,yes,8,yes,1
14,6,0,Competitive,White,32-38,Man,East/Southeast Asian,32-38,Man,yes,8,yes,2
14,7,0,Competitive,White,32-38,Man,White,39-45,Woman,yes,8,yes,1
14,8,0,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Woman,yes,8,yes,0
14,9,0,Competitive,White,32-38,Man,Black,32-38,Woman,yes,8,yes,1
15,1,1,Casual,White,32-38,Man,Latino,39-45,Man,yes,8,yes,1
15,2,1,Casual,White,32-38,Man,South Asian,18-24,Woman,yes,8,yes,0
15,3,1,Casual,White,32-38,Man,Latino,32-38,Woman,yes,8,yes,1
15,4,1,Casual,White,32-38,Man,East/Southeast Asian,39-45,Woman,yes,8,yes,0
15,5,0,Casual,White,32-38,Man,South Asian,32-38,Man,yes,8,yes,2
15,6,0,Casual,White,32-38,Man,East/Southeast Asian,18-24,Man,yes,8,yes,1
15,7,0,Casual,White,32-38,Man,Black,45+,Man,yes,8,yes,1
15,8,0,Casual,White,32-38,Man,Latino,45+,Woman,yes,8,yes,0
15,9,0,Casual,White,32-38,Man,White,25-31,Man,yes,8,yes,2
16,1,1,Competitive,White,25-31,Man,Latino,18-24,Man,yes,10,yes,1
16,2,1,Competitive,White,25-31,Man,White,39-45,Man,yes,10,yes,2
16,3,1,Competitive,White,25-31,Man,Latino,18-24,Woman,yes,10,yes,0
16,4,1,Competitive,White,25-31,Man,Latino,39-45,Woman,yes,10,yes,0
16,5,0,Competitive,White,25-31,Man,White,39-45,Woman,yes,10,yes,1
16,6,0,Competitive,White,25-31,Man,South Asian,25-31,Woman,yes,10,yes,1
16,7,0,Competitive,White,25-31,Man,South Asian,45+,Man,yes,10,yes,1
16,8,0,Competitive,White,25-31,Man,Latino,39-45,Man,yes,10,yes,1
16,9,0,Competitive,White,25-31,Man,South Asian,18-24,Woman,yes,10,yes,0
17,1,1,Competitive,White,32-38,Man,Black,18-24,Man,yes,9,yes,1
17,2,1,Competitive,White,32-38,Man,White,18-24,Woman,yes,9,yes,1
17,3,1,Competitive,White,32-38,Man,East/Southeast Asian,32-38,Man,yes,9,yes,2
17,4,1,Competitive,White,32-38,Man,Black,39-45,Man,yes,9,yes,1
17,5,0,Competitive,White,32-38,Man,Latino,25-31,Woman,yes,9,yes,0
17,6,0,Competitive,White,32-38,Man,East/Southeast Asian,18-24,Man,yes,9,yes,1
17,7,0,Competitive,White,32-38,Man,South Asian,45+,Man,yes,9,yes,1
17,8,0,Competitive,White,32-38,Man,Black,18-24,Woman,yes,9,yes,0
17,9,0,Competitive,White,32-38,Man,Latino,45+,Man,yes,9,yes,1
18,1,1,Casual,White,25-31,Man,Latino,45+,Woman,yes,10,yes,0
18,2,1,Casual,White,25-31,Man,South Asian,32-38,Man,yes,10,yes,1
18,3,1,Casual,White,25-31,Man,South Asian,32-38,Woman,yes,10,yes,0
18,4,1,Casual,White,25-31,Man,Black,45+,Man,yes,10,yes,1
18,5,0,Casual,White,25-31,Man,East/Southeast Asian,18-24,Woman,yes,10,yes,0
18,6,0,Casual,White,25-31,Man,White,18-24,Woman,yes,10,yes,1
18,7,0,Casual,White,25-31,Man,White,18-24,Woman,yes,10,yes,1
18,8,0,Casual,White,25-31,Man,White,39-45,Woman,yes,10,yes,1
18,9,0,Casual,White,25-31,Man,White,32-38,Man,yes,10,yes,2
19,1,1,Casual,White,32-38,Man,Latino,25-31,Woman,yes,6,yes,0
19,2,1,Casual,White,32-38,Man,Latino,32-38,Man,yes,6,yes,2
19,3,1,Casual,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,6,yes,1
19,4,1,Casual,White,32-38,Man,South Asian,18-24,Woman,yes,6,yes,0
19,5,0,Casual,White,32-38,Man,Latino,32-38,Woman,yes,6,yes,1
19,6,0,Casual,White,32-38,Man,East/Southeast Asian,18-24,Man,yes,6,yes,1
19,7,0,Casual,White,32-38,Man,Latino,25-31,Man,yes,6,yes,1
19,8,0,Casual,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,6,yes,1
19,9,0,Casual,White,32-38,Man,Black,25-31,Woman,yes,6,yes,0
20,1,1,Casual,White,32-38,Man,East/Southeast Asian,18-24,Woman,yes,9,yes,0
20,2,1,Casual,White,32-38,Man,Black,45+,Woman,yes,9,yes,0
20,3,1,Casual,White,32-38,Man,Latino,18-24,Woman,yes,9,yes,0
20,4,1,Casual,White,32-38,Man,South Asian,45+,Woman,yes,9,yes,0
20,5,0,Casual,White,32-38,Man,East/Southeast Asian,39-45,Man,yes,9,yes,1
20,6,0,Casual,White,32-38,Man,Latino,39-45,Man,yes,9,yes,1
20,7,0,Casual,White,32-38,Man,Black,25-31,Woman,yes,9,yes,0
20,8,0,Casual,White,32-38,Man,South Asian,18-24,Man,yes,9,yes,1
20,9,0,Casual,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,9,yes,1
21,1,1,Casual,White,32-38,Woman,Black,18-24,Woman,yes,10,yes,1
21,2,1,Casual,White,32-38,Woman,White,25-31,Man,yes,10,yes,1
21,3,1,Casual,White,32-38,Woman,White,39-45,Woman,yes,10,yes,2
21,4,1,Casual,White,32-38,Woman,South Asian,18-24,Woman,yes,10,yes,1
21,5,0,Casual,White,32-38,Woman,Latino,32-38,Woman,yes,10,yes,2
21,6,0,Casual,White,32-38,Woman,East/Southeast Asian,45+,Man,yes,10,yes,0
21,7,0,Casual,White,32-38,Woman,Latino,25-31,Woman,yes,10,yes,1
21,8,0,Casual,White,32-38,Woman,East/Southeast Asian,32-38,Woman,yes,10,yes,2
21,9,0,Casual,White,32-38,Woman,South Asian,32-38,Man,yes,10,yes,1
22,1,1,Casual,White,32-38,Man,South Asian,25-31,Woman,yes,8,yes,0
22,2,1,Casual,White,32-38,Man,Black,18-24,Woman,yes,8,yes,0
22,3,1,Casual,White,32-38,Man,South Asian,18-24,Woman,yes,8,yes,0
22,4,1,Casual,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,8,yes,1
22,5,0,Casual,White,32-38,Man,White,25-31,Man,yes,8,yes,2
22,6,0,Casual,White,32-38,Man,Latino,18-24,Woman,yes,8,yes,0
22,7,0,Casual,White,32-38,Man,South Asian,39-45,Man,yes,8,yes,1
22,8,0,Casual,White,32-38,Man,South Asian,32-38,Man,yes,8,yes,2
22,9,0,Casual,White,32-38,Man,Latino,18-24,Man,yes,8,yes,1
23,1,1,Competitive,White,32-38,Man,Latino,18-24,Man,yes,8,yes,1
23,2,1,Competitive,White,32-38,Man,Latino,25-31,Man,yes,8,yes,1
23,3,1,Competitive,White,32-38,Man,White,39-45,Man,yes,8,yes,2
23,4,1,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,8,yes,1
23,5,0,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Woman,yes,8,yes,0
23,6,0,Competitive,White,32-38,Man,South Asian,18-24,Man,yes,8,yes,1
23,7,0,Competitive,White,32-38,Man,South Asian,39-45,Man,yes,8,yes,1
23,8,0,Competitive,White,32-38,Man,Latino,32-38,Man,yes,8,yes,2
23,9,0,Competitive,White,32-38,Man,South Asian,39-45,Woman,yes,8,yes,0
24,1,1,Casual,White,39-45,Man,Black,32-38,Man,yes,9,yes,1
24,2,1,Casual,White,39-45,Man,Black,18-24,Man,yes,9,yes,1
24,3,1,Casual,White,39-45,Man,Latino,39-45,Man,yes,9,yes,2
24,4,1,Casual,White,39-45,Man,South Asian,18-24,Man,yes,9,yes,1
24,5,0,Casual,White,39-45,Man,Black,18-24,Woman,yes,9,yes,0
24,6,0,Casual,White,39-45,Man,Latino,25-31,Woman,yes,9,yes,0
24,7,0,Casual,White,39-45,Man,White,18-24,Woman,yes,9,yes,1
24,8,0,Casual,White,39-45,Man,South Asian,18-24,Woman,yes,9,yes,0
24,9,0,Casual,White,39-45,Man,East/Southeast Asian,32-38,Man,yes,9,yes,1
25,1,1,Casual,White,25-31,Man,Latino,25-31,Man,yes,10,yes,2
25,2,1,Casual,White,25-31,Man,White,18-24,Woman,yes,10,yes,1
25,3,1,Casual,White,25-31,Man,Latino,39-45,Woman,yes,10,yes,0
25,4,1,Casual,White,25-31,Man,White,25-31,Man,yes,10,yes,3
25,5,0,Casual,White,25-31,Man,Latino,18-24,Man,yes,10,yes,1
25,6,0,Casual,White,25-31,Man,South Asian,45+,Man,yes,10,yes,1
25,7,0,Casual,White,25-31,Man,South Asian,32-38,Man,yes,10,yes,1
25,8,0,Casual,White,25-31,Man,Black,39-45,Man,yes,10,yes,1
25,9,0,Casual,White,25-31,Man,East/Southeast Asian,18-24,Woman,yes,10,yes,0
26,1,1,Competitive,White,25-31,Woman,Latino,18-24,Woman,yes,10,yes,1
26,2,1,Competitive,White,25-31,Woman,East/Southeast Asian,18-24,Woman,yes,10,yes,1
26,3,1,Competitive,White,25-31,Woman,Latino,25-31,Man,yes,10,yes,1
26,4,1,Competitive,White,25-31,Woman,Black,18-24,Woman,yes,10,yes,1
26,5,0,Competitive,White,25-31,Woman,South Asian,18-24,Woman,yes,10,yes,1
26,6,0,Competitive,White,25-31,Woman,East/Southeast Asian,39-45,Woman,yes,10,yes,1
26,7,0,Competitive,White,25-31,Woman,South Asian,32-38,Man,yes,10,yes,0
26,8,0,Competitive,White,25-31,Woman,Latino,32-38,Man,yes,10,yes,0
26,9,0,Competitive,White,25-31,Woman,Black,39-45,Man,yes,10,yes,0
27,1,1,Casual,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,8,yes,1
27,2,1,Casual,White,32-38,Man,Black,18-24,Woman,yes,8,yes,0
27,3,1,Casual,White,32-38,Man,White,18-24,Man,yes,8,yes,2
27,4,1,Casual,White,32-38,Man,South Asian,25-31,Man,yes,8,yes,1
27,5,0,Casual,White,32-38,Man,Black,25-31,Woman,yes,8,yes,0
27,6,0,Casual,White,32-38,Man,South Asian,39-45,Woman,yes,8,yes,0
27,7,0,Casual,White,32-38,Man,White,39-45,Woman,yes,8,yes,1
27,8,0,Casual,White,32-38,Man,South Asian,25-31,Woman,yes,8,yes,0
27,9,0,Casual,White,32-38,Man,White,32-38,Woman,yes,8,yes,2
28,1,1,Competitive,White,25-31,Man,Latino,32-38,Man,yes,10,yes,1
28,2,1,Competitive,White,25-31,Man,South Asian,45+,Man,yes,10,yes,1
28,3,1,Competitive,White,25-31,Man,White,32-38,Man,yes,10,yes,2
28,4,1,Competitive,White,25-31,Man,Latino,25-31,Man,yes,10,yes,2
28,5,0,Competitive,White,25-31,Man,East/Southeast Asian,32-38,Woman,yes,10,yes,0
28,6,0,Competitive,White,25-31,Man,Latino,18-24,Woman,yes,10,yes,0
28,7,0,Competitive,White,25-31,Man,South Asian,32-38,Man,yes,10,yes,1
28,8,0,Competitive,White,25-31,Man,East/Southeast Asian,45+,Woman,yes,10,yes,0
28,9,0,Competitive,White,25-31,Man,Latino,25-31,Woman,yes,10,yes,1
29,1,1,Competitive,White,32-38,Man,Black,25-31,Woman,yes,8,yes,0
29,2,1,Competitive,White,32-38,Man,Black,32-38,Man,yes,8,yes,2
29,3,1,Competitive,White,32-38,Man,Black,39-45,Woman,yes,8,yes,0
29,4,1,Competitive,White,32-38,Man,South Asian,45+,Woman,yes,8,yes,0
29,5,0,Competitive,White,32-38,Man,South Asian,25-31,Man,yes,8,yes,1
29,6,0,Competitive,White,32-38,Man,Black,45+,Woman,yes,8,yes,0
29,7,0,Competitive,White,32-38,Man,East/Southeast Asian,32-38,Man,yes,8,yes,2
29,8,0,Competitive,White,32-38,Man,South Asian,18-24,Man,yes,8,yes,1
29,9,0,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,8,yes,1
30,1,1,Casual,White,25-31,Man,East/Southeast Asian,18-24,Woman,yes,10,yes,0
30,2,1,Casual,White,25-31,Man,East/Southeast Asian,25-31,Woman,yes,10,yes,1
30,3,1,Casual,White,25-31,Man,South Asian,18-24,Woman,yes,10,yes,0
30,4,1,Casual,White,25-31,Man,Black,45+,Woman,yes,10,yes,0
30,5,0,Casual,White,25-31,Man,Latino,32-38,Man,yes,10,yes,1
30,6,0,Casual,White,25-31,Man,Black,25-31,Woman,yes,10,yes,1
30,7,0,Casual,White,25-31,Man,South Asian,18-24,Man,yes,10,yes,1
30,8,0,Casual,White,25-31,Man,Latino,39-45,Man,yes,10,yes,1
30,9,0,Casual,White,25-31,Man,White,25-31,Man,yes,10,yes,3
31,1,1,Competitive,Black,32-38,Woman,East/Southeast Asian,18-24,Man,no,7,yes,0
31,2,1,Competitive,Black,32-38,Woman,White,18-24,Man,no,7,yes,0
31,3,1,Competitive,Black,32-38,Woman,East/Southeast Asian,45+,Man,no,7,yes,0
31,4,1,Competitive,Black,32-38,Woman,Latino,39-45,Woman,no,7,yes,1
31,5,0,Competitive,Black,32-38,Woman,Latino,39-45,Man,no,7,yes,0
31,6,0,Competitive,Black,32-38,Woman,South Asian,32-38,Man,no,7,yes,1
31,7,0,Competitive,Black,32-38,Woman,Black,25-31,Man,no,7,yes,1
31,8,0,Competitive,Black,32-38,Woman,South Asian,39-45,Man,no,7,yes,0
31,9,0,Competitive,Black,32-38,Woman,Black,18-24,Woman,no,7,yes,2
32,1,1,Casual,White,32-38,Man,Black,32-38,Man,yes,10,yes,2
32,2,1,Casual,White,32-38,Man,East/Southeast Asian,45+,Man,yes,10,yes,1
32,3,1,Casual,White,32-38,Man,Latino,18-24,Man,yes,10,yes,1
32,4,1,Casual,White,32-38,Man,White,18-24,Man,yes,10,yes,2
32,5,0,Casual,White,32-38,Man,South Asian,25-31,Woman,yes,10,yes,0
32,6,0,Casual,White,32-38,Man,Latino,18-24,Woman,yes,10,yes,0
32,7,0,Casual,White,32-38,Man,Black,39-45,Man,yes,10,yes,1
32,8,0,Casual,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,10,yes,1
32,9,0,Casual,White,32-38,Man,White,32-38,Woman,yes,10,yes,2
33,1,1,Casual,White,32-38,Woman,Black,18-24,Woman,yes,8,yes,1
33,2,1,Casual,White,32-38,Woman,East/Southeast Asian,25-31,Man,yes,8,yes,0
33,3,1,Casual,White,32-38,Woman,South Asian,18-24,Man,yes,8,yes,0
33,4,1,Casual,White,32-38,Woman,Latino,18-24,Man,yes,8,yes,0
33,5,0,Casual,White,32-38,Woman,South Asian,32-38,Man,yes,8,yes,1
33,6,0,Casual,White,32-38,Woman,Black,18-24,Man,yes,8,yes,0
33,7,0,Casual,White,32-38,Woman,Latino,25-31,Woman,yes,8,yes,1
33,8,0,Casual,White,32-38,Woman,White,32-38,Woman,yes,8,yes,3
33,9,0,Casual,White,32-38,Woman,East/Southeast Asian,18-24,Woman,yes,8,yes,1
34,1,1,Competitive,White,32-38,Man,South Asian,32-38,Woman,yes,10,yes,1
34,2,1,Competitive,White,32-38,Man,White,18-24,Woman,yes,10,yes,1
34,3,1,Competitive,White,32-38,Man,Latino,18-24,Woman,yes,10,yes,0
34,4,1,Competitive,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,10,yes,1
34,5,0,Competitive,White,32-38,Man,East/Southeast Asian,18-24,Man,yes,10,yes,1
34,6,0,Competitive,White,32-38,Man,Latino,32-38,Woman,yes,10,yes,1
34,7,0,Competitive,White,32-38,Man,White,18-24,Man,yes,10,yes,2
34,8,0,Competitive,White,32-38,Man,White,32-38,Woman,yes,10,yes,2
34,9,0,Competitive,White,32-38,Man,Black,25-31,Woman,yes,10,yes,0
35,1,1,Competitive,White,32-38,Woman,East/Southeast Asian,32-38,Man,yes,9,yes,1
35,2,1,Competitive,White,32-38,Woman,Latino,32-38,Woman,yes,9,yes,2
35,3,1,Competitive,White,32-38,Woman,East/Southeast Asian,39-45,Man,yes,9,yes,0
35,4,1,Competitive,White,32-38,Woman,Black,39-45,Man,yes,9,yes,0
35,5,0,Competitive,White,32-38,Woman,Latino,45+,Woman,yes,9,yes,1
35,6,0,Competitive,White,32-38,Woman,South Asian,32-38,Woman,yes,9,yes,2
35,7,0,Competitive,White,32-38,Woman,East/Southeast Asian,18-24,Man,yes,9,yes,0
35,8,0,Competitive,White,32-38,Woman,East/Southeast Asian,45+,Woman,yes,9,yes,1
35,9,0,Competitive,White,32-38,Woman,White,32-38,Woman,yes,9,yes,3
36,1,1,Competitive,White,32-38,Man,Black,45+,Woman,yes,10,yes,0
36,2,1,Competitive,White,32-38,Man,South Asian,32-38,Woman,yes,10,yes,1
36,3,1,Competitive,White,32-38,Man,Latino,25-31,Woman,yes,10,yes,0
36,4,1,Competitive,White,32-38,Man,Black,32-38,Man,yes,10,yes,2
36,5,0,Competitive,White,32-38,Man,Black,18-24,Man,yes,10,yes,1
36,6,0,Competitive,White,32-38,Man,East/Southeast Asian,39-45,Woman,yes,10,yes,0
36,7,0,Competitive,White,32-38,Man,White,39-45,Woman,yes,10,yes,1
36,8,0,Competitive,White,32-38,Man,White,18-24,Man,yes,10,yes,2
36,9,0,Competitive,White,32-38,Man,Latino,39-45,Man,yes,10,yes,1
37,1,1,Casual,White,18-24,Man,White,39-45,Woman,yes,7,no,1
37,2,1,Casual,White,18-24,Man,South Asian,32-38,Woman,yes,7,no,0
37,3,1,Casual,White,18-24,Man,Black,18-24,Man,yes,7,no,2
37,4,1,Casual,White,18-24,Man,Latino,18-24,Man,yes,7,no,2
37,5,0,Casual,White,18-24,Man,White,18-24,Man,yes,7,no,3
37,6,0,Casual,White,18-24,Man,Black,32-38,Woman,yes,7,no,0
37,7,0,Casual,White,18-24,Man,South Asian,32-38,Man,yes,7,no,1
